Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TFLUpcomingPlanJouney_HitURL,8481,63,58,75,86,119,42,9819,0.000%,4.65833,100.62,3.03
TFLUpcomingPlanJouney,25412,214,90,392,427,966,21,59420,5.655%,13.95339,197.82,49.29
TFLPlanJouney_NavigationtoURL,10659,62,58,75,89,119,42,5841,0.000%,5.84698,126.29,3.95
TFLUpcomingPlanJouney_HomePage,8479,55,52,66,74,103,0,30853,8.480%,4.65738,6.56,3.34
TFLPlanJouney_HomePage,10656,54,52,67,76,109,0,7644,8.953%,5.85025,8.24,4.17
TFLUpcomingPlanJouney_HomePageRetrivingdetails,8478,38,36,42,45,111,21,286,0.000%,4.65732,2.72,5.62
TFLPlanJouney_FetchingDetailsfromHomePage,10652,40,37,43,49,118,23,247,0.000%,5.84800,3.42,7.52
JourneyPlanner,10651,157,149,182,209,278,81,7813,8.957%,5.84314,137.85,15.62
TFLUpcomingPlanJouney_FromSourcePlace,8477,50,49,71,93,116,0,1363,8.482%,4.65735,4.24,2.89
TFLPlanJouney_Search,10651,35,34,39,41,102,20,253,0.000%,5.84744,3.41,8.62
TFLUpcomingPlanJouney_FromSourcePageRetriving,8474,51,48,60,68,104,32,1201,0.000%,4.65574,4.80,4.07
TFLPlanJouney_Results,10648,67,63,83,98,136,0,17612,8.950%,5.84556,85.13,4.24
TFLUpcomingPlanJouney_ToDestination,8473,44,44,55,61,89,0,1487,8.486%,4.65505,4.21,2.90
TFLPlanJouney_ResultRetrivingPage,10642,38,37,42,45,109,23,275,0.000%,5.85043,3.42,6.83
TFLUpcomingPlanJouney_ToDestinationPageRetrive,8471,49,46,58,67,99,31,1292,0.000%,4.65403,4.81,4.08
TFLUpcomingPlanJouney_EditingTimeandDate,8466,41,38,45,94,120,22,410,0.000%,4.65335,2.72,6.87
TFLUpcomingPlanJouney_SearchButton,8464,33,33,38,40,51,20,309,0.000%,4.65225,2.72,5.43
TFLUpcomingPlanJouney_SearchResultFetching,8462,34,34,39,41,56,20,874,0.000%,4.65125,2.72,7.37
TFLPlanJouney_DisplayingthedetailsofResults,10639,331,62,107,1423,3496,0,59903,8.976%,5.84909,75.80,4.46
SearchSourceandDestinationStations,10634,471,200,275,1587,3712,47,60033,8.981%,5.83821,167.49,24.11
TFLUpcomingPlanJouney_DisplayingResult,8459,181,64,107,126,2337,0,59126,8.512%,4.65935,62.04,3.79
Transaction Controller,25,268125,270680,349223,376788,379328,86728,379328,20.000%,.01370,305.25,39.72
TOTAL,214453,144,52,168,249,508,0,379328,4.239%,117.55545,1310.49,217.60
